Authors	Code	Title	Method	Decision	Year	Abstract	Source title	DOI	Overlap	Term	Link
Sun M.; Trudel R.	ST_2017	The effect of recycling versus trashing on consumption: Theory and experimental evidence	Experiments	Yes	2017	This article proposes a utilitarian model in which recycling could reduce consumers' negative emotions from wasting resources (i.e., taking more resources than what is being consumed) and increase consumers' positive emotions from disposing of consumed resources. The authors provide evidence for each component of the utility function using a series of choice problems and formulate hypotheses on the basis of a parsimonious utilitarian model. Experiments with real disposal behavior support the model hypotheses. The findings suggest that the positive emotions associated with recycling can overpower the negative emotions associated with wasting. As a result, consumers could use a larger amount of resources when recycling is an option, and more strikingly, this amount could go beyond the point at which their marginal consumption utility becomes zero. The authors extend the theoretical model and introduce acquisition utility and the moderating effect of the costs of recycling (financial, physical, and mental). From a policy perspective, this research argues for a better understanding of consumers' disposal behavior to increase the effectiveness of environmental policies and campaigns. © 2017, American Marketing Association.	Journal of Marketing Research	10.1509/jmr.15.0574	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018873695&doi=10.1509%2fjmr.15.0574&partnerID=40&md5=2ae8ea5596d28c9257a7baead53c43e7
Szocs C.; Williamson S.; Mills A.	SWM_2022	Contained: why it’s better to display some products without a package	Experimental	Yes	2022	Across varying marketplace contexts (e.g., grocery stores, restaurants, e-commerce) managers display products with and without packaging, seemingly arbitrarily. Does displaying a product packaged as opposed to unpackaged influence consumers’ product responses? Six controlled experiments and an Instagram study address this question. We focus primarily on food products but show our results extend to non-food products that are natural (i.e., originate from plants, animals, or humans). We propose that, in addition to its physical function, packaging acts as a symbolic barrier that separates the product from nature, decreasing perceived product naturalness and leading to less favorable product responses. Consistent with our theorizing, the negative effects of packaging attenuate when product information or retail signage highlights the product’s connection to nature and are contingent on the importance of product naturalness. Our findings have implications for strategic use of packaging in physical and digital merchandising and sustainability initiatives aimed at reducing packaging. © 2021, Academy of Marketing Science.	Journal of the Academy of Marketing Science	10.1007/s11747-021-00800-3	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113657698&doi=10.1007%2fs11747-021-00800-3&partnerID=40&md5=1d9c8cadc93125cd183c297b6e5d6288
Trudel R.; Arg J.J.; Meng M.D.	TAM_2016	The recycled self: Consumers' disposal decisions of identity-linked products	Experiments	Yes	2016	It has been known for some time that consumers' identities influence purchasing decisions and people form strong identity connections, or "links," with products and brands. However, research has yet to determine whether identity-linked products are differentially treated at disposal in comparison to products that are not identity linked. Across seven studies, the current research shows that when an everyday product (e.g., paper, cups, aluminum cans) is linked to a consumer's identity, it is less likely to be trashed and more likely to be recycled. Further, the tendency to recycle an identity-linked product increases with the strength and positivity of the connection between the consumer and product (or brand). Finally, the disposal behavior can be explained by consumers' motivation to avoid trashing a product that is linked to the self because it is viewed as an identity threat. In sum, consumers will be more likely to recycle (rather than trash) a product if the product is linked to a consumer's identity. This occurs because placing an identitylinked product in the trash is symbolically similar to trashing a part of the self, a situation consumers are motivated to avoid. © The Author 2016.	Journal of Consumer Research	10.1093/jcr/ucw014	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988862051&doi=10.1093%2fjcr%2fucw014&partnerID=40&md5=7b6af5c7ca06dd953eff56cc350d6af3
Tezer A.; Bodur H.O.	TB_2021	The greenconsumption effect: How using green products improves consumption experience	Experiments	Yes	2021	In many situations, consumers use green products without a deliberate choice to use or purchase the product. This research explores how using a green product (e.g., a pair of headphones made from recycled materials) influences the enjoyment of the accompanying consumption experience (e.g., listening to music), even if consumers have not deliberately chosen or purchased the product. Five experiments in actual consumption settings revealed that using a green (vs. conventional) product enhances the enjoyment of the accompanying consumption experience, referred to as the greenconsumption effect. Merely using a green product makes consumers perceive an increase in the extent to which they are valued as individuals by society, which leads to warm glow feelings, and consequently enhances the enjoyment of the accompanying consumption experience. When consumers experience low social worth, the positive effect of using green products on the accompanying consumption experience is amplified. The greenconsumption effect disappears when the negative environmental impact of the green product attribute is low. From a managerial standpoint, the current research identifies instances where brands can benefit from going green and encourages marketers, especially service providers, to promote green products that are instrumental in consumption experiences. © 2020 Oxford University Press. All rights reserved.	Journal of Consumer Research	10.1093/JCR/UCZ045	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100978700&doi=10.1093%2fJCR%2fUCZ045&partnerID=40&md5=ff66c30d5942c8795ed2690d5ba79418
Tangari A.H.; Burton S.; Smith R.J.	TBS_2015	Now that's a Bright Idea: The Influence of Consumer Elaboration and Distance Perceptions on Sustainable Choices	Experiments	Yes	2015	Integrating theory related to psychological distance and elaboration on potential outcomes, hypotheses are offered that predict that consumers' elaboration levels moderate the effect of temporal distance on choice of energy efficient products. In three experiments, the authors examine the influence of temporal and psychological distance and the moderating effect of a consumer's propensity to elaborate on potential outcomes (EPO) in retail choice-based situations. Results support these predictions with consumers lower in elaboration more likely to choose an energy efficient product when perceived distance is proximal versus distal, while the distance effect has less of an influence on consumers prone to higher elaboration. We test the effect of distance perceptions within a retail lab environment, as well as across ad and retail contexts. These results will help marketers better understand how to promote products in ad versus retail-based contexts and across different consumer groups. Findings offer implications for theory, retailers, product marketers, and NGO's interested in promoting energy efficient choices. © 2015 New York University.	Journal of Retailing	10.1016/j.jretai.2015.05.002	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939263041&doi=10.1016%2fj.jretai.2015.05.002&partnerID=40&md5=9eff81212507e08092d31d14daa0d79e
Tarabashkina L.; Devine A.; Quester P.G.	TDQ_2020	Encouraging product reuse and upcycling via creativity priming, imagination and inspiration	Experiments	Yes	2022	Purpose: Consumers seldom consider end-use consumption (reuse or upcycling) when products reach the end of their lifecycle. This study shows that end-use consumption can be encouraged if individuals are primed to think creatively, engage in end-use ideation (imagine end-use) and become inspired by more original ideas. Design/methodology/approach: Three studies were carried out. Study 1 tested if creativity priming resulted in more effective end-use ideation (greater number of ideas and more original ideas) compared to environmental appeals and no intervention. Study 2 tested the effectiveness of creativity priming in a longitudinal setting. Study 3 demonstrated how creativity priming and end-use ideation could be practically executed using product packaging. Findings: Creativity priming represents an effective intervention to stimulate end-use consumption with particularly positive results amongst less creative consumers. However, it was not the number of generated ideas, but their originality during end-use ideation that triggered inspiration. Research limitations/implications: This study demonstrates which interventions are more effective in changing consumer behaviour in favour of more sustainable practices. Practical implications: Increasing environmental degradation requires consumers to change their behaviour by re-consuming products. This study shows that consumers can adopt end-use if they are primed to think creatively, imagine end-use consumption and generate more original ideas. Originality/value: Creative thinking has been leveraged at product development stages, but not at the end of products’ lifecycle. This study integrated creativity priming, consumer imagination and inspiration theories to explain the underlying mechanism behind end-use consumption to scale up its adoption by consumers. © 2020, Emerald Publishing Limited.	European Journal of Marketing	10.1108/EJM-06-2020-0442	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130327680&doi=10.1108%2fEJM-06-2020-0442&partnerID=40&md5=b789dea3ebe6f9fc3e1e322e874656cf
Tang Y.; Felix R.; Hinsch C.	TFH_2024	Ritual and environmental ineffectiveness: How psychological ownership of community drives environmental behavior	Experiments	Yes	2024	Psychological ownership has been linked to various environmental behaviors, but extant research has typically examined a specific environmental element (i.e., a lake or national park) instead of abstract entities as the target of this ownership. The current research investigates how psychological ownership of an abstract entity, namely one's community, impacts environmental attitudes and behaviors. Intrigued by previous research showing that consumer concern for the environment does not necessarily translate into pro-environmental action, we examine the connection between psychological ownership, environmental concern, and environmental behaviors. We propose and find that the perception of environmental ineffectiveness moderates how these variables relate to one another. Counterintuitively, higher levels of perceived environmental ineffectiveness (rather than effectiveness) strengthen the relationships between these variables. We draw on the theory of ritualistic behaviors to explain this phenomenon. Results from three studies using diverse respondents and data gathering approaches reveal a consistent pattern of relationships. Our research makes several important contributions. First, it identifies a quasi-endowment effect that extends from psychological ownership of community to environmental concern, which subsequently results in the protection of the environment through engagement in environmental behaviors. Second, this research extends the burgeoning psychological literature on rituals to the domain of environmental behaviors. Finally, using the conceptualization of environmental behavior as a ritual, this is the first study to illustrate how perceived consumer ineffectiveness moderates the effect of psychological ownership on environmental behaviors through environmental concern. © 2023 Wiley Periodicals LLC.	Psychology and Marketing	10.1002/mar.21955	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179952877&doi=10.1002%2fmar.21955&partnerID=40&md5=1978d8c3df91cdd060124e5d8f11afe4
Thøgersen J.; Haugaard P.; Olesen A.	THO_2010	Consumer responses to ecolabels	Field Survey	Yes	2010	Purpose: The purpose of this paper is to develop and apply a framework for understanding consumer responses to ecolabelling. Design/methodology/approach: From a consumer perspective, ecolabels are tools for supporting decision making with regard to environmentally significant products. The paper proposes an adoption of innovation framework for understanding consumer responses. The framework is applied in a mall-intercept survey of the early adoption of a new ecolabel, the MSC label for sustainable fishery, in Denmark. Findings: Early adopters of a new ecolabel mostly employ a high effort adoption process. Starting the adoption process depends on both motivation (intention to buy sustainable fish products) and ability (issue-relevant knowledge). Whether and how quickly the consumer completes the adoption depends on his or her motivation, past experience with using ecolabels, and trust in the endorsing organisation. Research limitations/implications: Environmental and product-related factors did not differ between respondents. Hence, a complete account of the importance of these factors for the adoption and (especially) diffusion of the label is not provided. Practical implications: Consumers scoring highly on both issue-relevant knowledge and motivation are the most likely innovators and early adopters. Their high level of expertise means that they do not need a lot of explanation for understanding the label and its self-relevance and their strong motivation means that they will search for more if they need it (and if it is not too difficult to get). Originality/value: The paper makes both a conceptual and an empirical contribution, which are of value both to practitioners (ecolabel promoters and users) and to research on ecolabel effectiveness. © Emerald Group Publishing Limited.	European Journal of Marketing	10.1108/03090561011079882	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-78149391433&doi=10.1108%2f03090561011079882&partnerID=40&md5=08fbb62c9ada10e784fbd956a9358515
Tanner C.; Kast S.W.	TK_2003	Promoting Sustainable Consumption: Determinants of Green Purchases by Swiss Consumers	Survey	Yes	2003	Given that overconsumption in industrial countries is a main cause of environmental degradation, a shift toward more sustainable consumption patterns is required. This study attempts to uncover personal and contextual barriers to consumers' purchases of green food and to strengthen knowledge about fostering green purchases. Survey data are used to examine the influence of distinct categories of personal factors (such as attitudes, personal norms, perceived behavior barriers, knowledge) and contextual factors (such as socioeconomic characteristics, living conditions, and store characteristics) on green purchases of Swiss consumers. Results from regression analysis suggest that green food purchases are facilitated by positive attitudes of consumers toward (a) environmental protection, (b) fair trade, (c) local products, and (d) availability of action-related knowledge. In turn, green behavior is negatively associated with (e) perceived time barriers and (f) frequency of shopping in supermarkets. Surprisingly, green purchases are not significantly related to moral thinking, monetary barriers, or the socioeconomic characteristics of the consumers. Implications for policy makers and for companies and marketers engaged in the promotion and commercialization of green products are discussed. © 2003 Wiley Periodicals, Inc.	Psychology and Marketing	10.1002/mar.10101	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-2442490861&doi=10.1002%2fmar.10101&partnerID=40&md5=e6ea7055c7b7bb988eb783cb5b4f581f
Techawachirakul M.; Pathak A.; Motoki K.; Calvert G.A.	TPMC_2023	Negative halo effects of sustainable packaging	Experiments	Yes	2023	More firms are adopting “green packaging” due to regulatory and environmental concerns. The alcoholic beverage industry has recently joined the lobby and major producers have introduced creative paper bottles for their alcoholic drinks. Previous research on sustainable labeling (e.g., eco-friendly labels) has shown the positive halo effect where sustainable labeling induces positive evaluations. In contrast, our research aims to reveal the negative halo effects of sustainable packaging in the case of paper-bottled alcoholic beverages. Across three studies, we explore consumers' perceptions toward alcoholic drinks packed in innovative paper bottles. Studies 1–2 demonstrate that consumers hold inferior expectations (i.e., sensory attributes, price, and purchase likelihood) toward alcoholic beverages packed in paper bottles. Study 3 demonstrates that the enforced messaging and attractive packaging can mitigate the negative halo effect for self-consumption and gifting. These findings contribute to the literature on sustainable packaging, especially in the novel space of paper-bottled alcoholic drinks. © 2023 The Authors. Psychology & Marketing published by Wiley Periodicals LLC.	Psychology and Marketing	10.1002/mar.21891	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171574591&doi=10.1002%2fmar.21891&partnerID=40&md5=a5b25a5a6509e145a59782ae559ab68f
Tari A.; Trudel R.	TT_2024	Affording Disposal Control: The Effect of Circular Take-Back Programs on Psychological Ownership and Valuation	Experiments	Yes	2024	A circular economy is a “closed-loop” system designed so that products flow back into the production cycle after use. With many companies implementing take-back programs as part of their sustainability strategy, a fundamental shift in consumption has occurred, with consumers considering disposal during and even before purchase decision making. Eight experiments reveal that consumers indicate a greater willingness to pay for circular program products. An increase in psychological ownership underlies the difference in product valuation. Specifically, the additional disposal control uniquely afforded by circular products increases the capacity of circular take-back program products to evoke psychological ownership. The process explanation is directly tested through mediation. Experimentally manipulating antecedents of psychological ownership (i.e., disposal control and psychological ownership) provides further support for the conceptual framework. © American Marketing Association 2023.	Journal of Marketing	10.1177/00222429231196576	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175949521&doi=10.1177%2f00222429231196576&partnerID=40&md5=97787957d69eec661cc34c985c67d744
Urien B.; Kilbourne W.	UK_2011	Generativity and self-enhancement values in eco-friendly behavioral intentions and environmentally responsible consumption behavior	Survey	Yes	2011	During the past 35 years, academic researchers have been examining the relationship between environmentally responsible consumption behavior and numerous antecedent variables. Because sustainability requires a long-term perspective, the study included generativity, a construct developed by Erikson (1950) and self-enhancement values (Schwartz, 1994) as antecedent variables for environmentally responsible consumption behavior. Generativity refers to individuals' beliefs that their current behavior has consequences that extend into future generations, while self-enhancement refers to values relating to power, wealth, and influence. These variables are related in that generativity requires consideration of others while self-enhancement generally refers to considering only one's self. This suggests that individuals high on generativity ought to be more aware of and concerned about the environment and should modify their behavior accordingly, and those who are high on self-enhancement should be less concerned or willing to change behavior. The results of the study, including French and American respondents, indicate that individuals who score high on generativity are more likely to have eco-friendly intentions and more environmentally responsible consumption behaviors, but generativity interacts with self-enhancement, resulting in an interpretation that is different from that typically found in environmentally related studies. © 2010 Wiley Periodicals, Inc.	Psychology and Marketing	10.1002/mar.20381	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650122397&doi=10.1002%2fmar.20381&partnerID=40&md5=e4133f85c39bcd1b594bbefd8e780b9b
de Visser-Amundson A.; Peloza J.; Kleijnen M.	VAPK_2021	How Association with Physical Waste Attenuates Consumer Preferences for Rescue-Based Food	Experiments	Yes	2021	In an effort to combat food waste, many firms have introduced rescue-based foods (RBFs), which are made from ingredients that are safe to eat but would otherwise be wasted, often due to aesthetic issues or oversupply. Although the benefits of RBF are varied, some firms adopt strategies that highlight RBF’s waste-reduction benefits, such as reduced landfill use or lower environmental impact. This research posits that when firms adopt strategies that highlight associations between physical waste and RBF, those associations can generate negative mental imagery, which can trigger disgust and mitigate positive consumer attitudes toward RBF. When such associations are not present, demand is consistent with demand for conventional foods. The authors find support for the role of mental imagery in this demand mitigation process, with some promotional appeals stimulating thoughts of physical waste. Counterintuitively, this research reveals that when marketers adopt the common practice of using environmental benefit appeals that can trigger physical waste associations, such as the color green, consumer demand for RBF diminishes. Conversely, focusing on the societal benefits or limiting the number of cues available to create physical waste associations generates consumer demand for these foods on a level equivalent to that of conventional food. © American Marketing Association 2021.	Journal of Marketing Research	10.1177/00222437211031243	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114676402&doi=10.1177%2f00222437211031243&partnerID=40&md5=7f16d2a2029c1a2c461d8d5ab9290229
Vesal M.; Siahtiri V.; O'Cass A.	VSO_2021	Strengthening B2B brands by signalling environmental sustainability and managing customer relationships	Field Survey	Yes	2021	Resource depletion and environmental pollution concerns are forcing manufacturers to pay greater attention to environmental sustainability. This is especially so for business-to-business (B2B) manufacturing firms who intensively use natural resources in their operations and are blamed for observable impacts on the environment. Despite investments in environmental sustainability practices by B2B manufacturers, studies provide little explanation about the extent B2B manufacturers obtain a positive brand image and superior market performance through environmental sustainability. Furthermore, research has not identified organisational practices that strengthen the path from environmental sustainability to market performance. Drawing on signalling theory, the customer relationship management (CRM) literature, attitude theory, and data collected from B2B manufacturers and their customers, we show that environmental sustainability practices provide positive benefits to B2B manufacturers' brand image, which, in turn, impacts market performance. Further, effective CRM and working with business customers with positive environmental attitudes are essential boundary conditions that strengthen the path from environmental sustainability practices to market performance. © 2020	Industrial Marketing Management	10.1016/j.indmarman.2020.02.024	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081027906&doi=10.1016%2fj.indmarman.2020.02.024&partnerID=40&md5=5b24da235e9cf19259be832939ee82e3
Wood S.	W_2012	Prone to progress: Using personality to identify supporters of innovative social entrepreneurship	Experimental	Yes	2012	One of the main challenges in social entrepreneurship is capturing stakeholder support-from consumers, to legislators, to volunteers, to many others. Identifying likely supporters is the first step to sustainable success, but a difficult one. This research examines whether personality influences a person's tendency to support innovative social entrepreneurial (SE) ventures. Here, the possible influence of the "Big Five" personality traits (i.e., openness, conscientiousness, extroversion, agreeableness, and neuroticism [OCEAN]) is examined; however, in line with prior research, attention is focused on both openness (an OCEAN trait) and empathy (a non-OCEAN trait). Two types of SE ventures are considered: social innovations and technological innovations. Data from a survey evaluating six SE ventures (three social and three technological) reveal that participants' personality influences support; however, observed influence differs by type of venture-openness underlies support of technological innovations, and empathy underlies support of social innovations. Further process analysis demonstrates that this influence is not direct but rather is mediated by people's perceptions of how much change the venture will make. These results offer social entrepreneurs insights into who might be prone to support SE ventures and, more important, why. © 2012, American Marketing Association.	Journal of Public Policy and Marketing	10.1509/jppm.11.060	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862570159&doi=10.1509%2fjppm.11.060&partnerID=40&md5=c8b4a650d7bccc8d35ad1042eb7bdc2e
Weijters B.; Deltomme B.; Gorissen K.; Baumgartner H.	WDGB_2024	Measuring latent individual difference variables with a conjoint design and structural equation modeling	Experiments	Yes	2024	Researchers often measure consumers’ responsiveness to a certain attribute (e.g., how much consumers value sustainability in products or low prices). Traditionally, this has been done by using multi-item self-report scales. We propose the use of a rating-based conjoint design analyzed with structural equation modeling as an alternative. To illustrate the approach, we apply it to the measurement of eco-utility. In doing so, we evaluate three likely advantages of the conjoint-based approach relative to traditional self-reports: (a) reduced bias due to Acquiescence Response Style, (b) reduced bias due to socially desirable responding, and (c) enhanced ability to control for the effects of product attributes that may be confounded with the focal attribute (e.g., price may be confounded with sustainability). Our results provide preliminary support for each of the proposed advantages. We conclude with implications for measurement and discuss how the current approach offers new ideas on how to measure latent variables. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.	Marketing Letters	10.1007/s11002-023-09695-2	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166986935&doi=10.1007%2fs11002-023-09695-2&partnerID=40&md5=f1fc49929a49cc569d496923b436cefc
van der Wal A.J.; van Horen F.; Grinstein A.	WHG_2018	Temporal myopia in sustainable behavior under uncertainty	Experiments	Yes	2018	Consumers in today's world are confronted with the alarming consequences of unsustainable behavior such as pollution and resource degradation. In addition, they are facing increases in uncertainty due to external events such as economic crises and terror attacks. These two problems are central to consumers’ lives, occur on a global scale, and have significant impact on the world's political, economic, environmental, and social landscapes. Contributing to research on persuasion and pro-social behavior, we show in four studies, conducted online, in the lab, and in the field, that these two problems are interconnected. Studies 1 and 2 demonstrate that uncertainty leads to lower levels of sustainable behavior in comparison to certainty. Study 2 reveals in addition that this is due to the display of higher levels of temporal discounting under uncertainty (i.e., adopting a more immediate orientation). Finally, Studies 3 and 4 show that emphasizing the immediate benefits of sustainability during uncertainty reverses the negative effect and leads consumers to act more sustainably. Overall, these findings provide valuable implications for policy makers and responsible marketers. © 2018 Elsevier B.V.	International Journal of Research in Marketing	10.1016/j.ijresmar.2018.03.006	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051458926&doi=10.1016%2fj.ijresmar.2018.03.006&partnerID=40&md5=3d3d56590be12c973465018f2fba06e2
Wang T.; Mukhopadhyay A.; Patrick V.M.	WMP_2017	Getting consumers to recycle now! When and why cuteness appeals influence prosocial and sustainable behavior	Experiments	Yes	2017	Policy makers and social agencies need novel insights to manage the major global challenge of encouraging prosocial and sustainable behaviors. This research identifies a positive aesthetic cue, "Kindchenschema cuteness," that can reliably induce some people-specifically, those who exhibit high approach motivational orientation (per the behavioral approach system [BAS]; Carver and White 1994)- to engage in prosocial and conservation behaviors. Studies 1 and 2 show that consumers high (vs. low) in BAS (measured) react more favorably to conservation appeals featuring cuteness, an effect mediated by experienced feelings of tenderness. Study 3 replicates the effect usinga prime of approach motivation (BAS) to assess donation intentions. Study 4, a large-scale field experiment conducted over eight weeks at multiple locations, shows that people recycle more at bins featuring cute visuals with active (high-BAS) messages compared with bins featuring cute visuals with passive (low-BAS) messages. The authors conclude with a discussion of practical implications for policy makers. © 2017, American Marketing Association.	Journal of Public Policy and Marketing	10.1509/jppm.16.089	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040184108&doi=10.1509%2fjppm.16.089&partnerID=40&md5=365f30e1ace55391790622e6f3c1ee50
Winterich K.P.; Nenkov G.Y.; Gonzales G.E.	WNG_2019	Knowing What It Makes: How Product Transformation Salience Increases Recycling	Experiments	Yes	2019	Recycling campaigns abound, but do consumers think about what becomes of those recyclables? This research proposes that product transformation salience (thinking about recyclables turning into new products) increases recycling. The authors theorize that consumers are inspired by the transformation of recyclables into new products and that this inspiration motivates them to recycle. The authors demonstrate the effect of product transformation messages on recycling behavior using a recycling campaign (Study 1) and advertisements for products made from recycled plastic (Study 2). Study 3 demonstrates the mediating role of inspiration. Then, three field studies provide robust support for the transformation salience effect through click-through rates for recycling advertisements (Study 4), recycling rates during pre–football game tailgating (Study 5), and a reduction in the amount of recyclable materials incorrectly placed in the landfill bin by students in a university residence hall (Study 6). The authors discuss implications for the design of recycling campaigns and positioning of recycled products in the marketplace as well as theoretical contributions regarding the roles of transformation salience and inspiration in encouraging recycling and other sustainable behaviors. © American Marketing Association 2019.	Journal of Marketing	10.1177/0022242919842167	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070327200&doi=10.1177%2f0022242919842167&partnerID=40&md5=e4024aebfaa9a9801f1fdd5a06cc9188
White K.; Simpson B.; Argo J.J.	WSA_2014	The motivating role of dissociative out-groups in encouraging positive consumer behaviors	Experiments	Yes	2014	Previous research has found that people tend to avoid products or behaviors that are linked to dissociative reference groups. The present research demonstrates conditions under which consumers exhibit similar behaviors to dissociative out-group members in the domain of positive consumption behaviors. In particular, when a consumer learns that a dissociative out-group performs comparatively well on a positive behavior, the consumer is more likely to respond with positive intentions and actions when the setting is public (vs. private). The authors suggest that this occurs because learning of the successful performance of a dissociative out-group under public conditions threatens the consumer)s group image and activates the desire to present the group image in a positive light. The authors show that although group affirmation mitigates these effects, self-affirmation does not. They also examine the moderating role of the positivity of the behavior and the mediating role of group image motives. Taken together, the results highlight conditions under which communicating information about the behaviors of dissociative out-groups can be used to spur consumers to engage in positive actions. © 2014, American Marketing Association.	Journal of Marketing Research	10.1509/jmr.12.0335	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940236286&doi=10.1509%2fjmr.12.0335&partnerID=40&md5=ee3e3831cf0699bb50282bd36358cb9f
Wilken R.; Schmitt J.; Dost F.; Bürgin D.	WSDB_2024	Does the presentation of true costs at the point of purchase nudge consumers toward sustainable product options?	Experiments	Yes	2024	Do true cost campaigns (TCCs)—which display prices at the point of purchase that include social and environmental negative externalities—nudge consumers toward more expensive sustainable products? From a theoretical point of view, the answer is promising: Communicating true costs means introducing external reference prices that provide a benchmark for consumers to assess price acceptability. Showing true costs triggers a general reference to the price of sustainability, and the higher price of sustainable products becomes at least partially explained by their lower “hidden costs” (i.e., costs to compensate for all environmental and social impacts). In two empirical studies, we demonstrate that for TCCs to be effective, the hidden costs for the sustainable products must be lower than those for the conventional alternatives. Interestingly, under this condition, TCCs have an effect in markets characterized by a larger (study 1) and a smaller (study 2) green gap. In both studies, we find that increased perceived price fairness explains the effect of TCCs, as measured by the relative preference for the sustainable compared to the conventional product. In addition, we see that the price difference between the two products plays a significant role in forming this preference judgment, independent of other factors included in the model and especially independent of TCC. © 2023, The Author(s).	Marketing Letters	10.1007/s11002-023-09713-3	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181515494&doi=10.1007%2fs11002-023-09713-3&partnerID=40&md5=1856abaec94f965ea3907432d0571713
Xu H.; Bolton L.E.	XB_2024	How Do Consumers React to Production Waste?	Experiments	Yes	2024	Production waste, or inefficiencies in product manufacturing, is a major contributor to environmental problems. Consider production waste in garment manufacturing -which has been criticized for wasteful use of natural resources (e.g., using excessive water and fabric) and wasteful disposal of resource residuals (e.g., discarding excessive wastewater and fabric scraps). The present research examines consumer reactions to production waste and its mitigation as a function of whether it is characterized in terms of resource use versus disposal. A series of seven studies (including field and secondary data) finds that (i) consumers are less sensitive to wasteful resource use than disposal due to lower perceptions of environmental harm; (ii) likewise, consumers are less sensitive to waste mitigation targeting resource use than disposal due to lower perceptions of environmental benefit; and (iii) these waste reaction differences are attenuated when resource scarcity or long-term orientation is heightened (which increases consumer sensitivity to resource use). Together, this research sheds light on how, why, and when consumers are averse to production waste, while providing guidance regarding interventions focused on fighting production waste and promoting sustainability.  © The Author(s) 2023.	Journal of Consumer Research	10.1093/jcr/ucad060	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189794839&doi=10.1093%2fjcr%2fucad060&partnerID=40&md5=0bd968b1c0676cd1c58ef792eabbbb79
Xu L.; Zhao S.; Cotte J.; Cui N.	XZCC_2023	Cyclical Time Is Greener: The Impact of Temporal Perspective on Pro-Environmental Behavior	Experiments	Yes	2023	The natural environment is deteriorating. However, humans have not slowed down their pace of resource depletion and environmental destruction. This research takes a particular path to understanding environmental consumption- through a focus on temporal perspective. Evidence from six studies demonstrates the positive effect of a cyclical temporal perspective, versus a linear temporal perspective, on consumers' pro-environmental behavior. The research shows that individuals with a cyclical perspective are more likely to include the environment in the self, which leads to higher pro-environmental behavioral intentions and more pro-environmental behavior. This temporal perspective effect is attenuated for consumers already high on green values. The authors also examine a marketercontrolled moderator and show that consumers are more likely to purchase a pro-environmental product when they see a temporal-perspective-congruent promotional appeal. The research contributes to both the time perception and the environmental consumption literature and offers several practical implications for organizations to promote sustainable consumer behavior.  © The Author(s) 2023.	Journal of Consumer Research	10.1093/jcr/ucad016	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178364143&doi=10.1093%2fjcr%2fucad016&partnerID=40&md5=e7681bdda5a68770032ce025f4fafd5e
